ID,RecordKey,External key,Source,Rank2,Taxon,Common name,Taxon group,Kingdom,Order,Family,TaxonVersionKey,Site name,Sensitive site,Original map ref,Latitude,Longitude,Projection (input),Precision,Output map ref,Projection (output),Biotope,VC number,Vice County,Date interpreted,Date from,Date to,Date type,Sample method,Recorder,Determiner,Recorder certainty,Sex,Stage,Count of sex or stage,Zero abundance,Comment,Sample comment,Images,Input on date,Last edited on date,Verification status 1,Verification status 2,Query,Verifier,Verified on,Licence,Automated checks
39969311,iBRC39969311,,iRecord | iRecord Import,Species,Meles meles,Eurasian Badger,terrestrial mammal,Animalia,Carnivora,Mustelidae,NHMSYS0000080191,"[sensitive record, location hidden]",,SJ4365,53.18358152,-2.846927124,OSGB,1000,SJ4365,OSGB,,58,Cheshire,20/04/2015,20/04/2015,20/04/2015,D,,Richard Burkmar,Richard Burkmar,,,Not recorded,1,FALSE,Roadkill.,,,13/01/2025 10:56,20/01/2025 10:04,Accepted,Correct,,"Parker, Antony",20/01/2025 10:04,,Passed checks
39969313,iBRC39969313,,iRecord | iRecord Import,Species,Meles meles,Eurasian Badger,terrestrial mammal,Animalia,Carnivora,Mustelidae,NHMSYS0000080191,"[sensitive record, location hidden]",,SJ6483,53.34719224,-2.534716149,OSGB,1000,SJ6483,OSGB,,58,Cheshire,19/02/2015,19/02/2015,19/02/2015,D,,Richard Burkmar,Richard Burkmar,,,Not recorded,1,FALSE,Dead on side of motorway.,,,13/01/2025 10:56,20/01/2025 10:04,Accepted,Correct,,"Parker, Antony",20/01/2025 10:04,,Passed checks
39969422,iBRC39969422,,iRecord | iRecord Import,Species,Meles meles,Eurasian Badger,terrestrial mammal,Animalia,Carnivora,Mustelidae,NHMSYS0000080191,"[sensitive record, location hidden]",,SJ4365,53.18358152,-2.846927124,OSGB,1000,SJ4365,OSGB,,58,Cheshire,12/03/2015,12/03/2015,12/03/2015,D,,Richard Burkmar,Richard Burkmar,,,Not recorded,1,FALSE,Dead on side of road.,,,13/01/2025 10:56,20/01/2025 10:05,Accepted,Correct,,"Parker, Antony",20/01/2025 10:05,,Passed checks
39969784,iBRC39969784,,iRecord | iRecord Import,Species,Meles meles,Eurasian Badger,terrestrial mammal,Animalia,Carnivora,Mustelidae,NHMSYS0000080191,"[sensitive record, location hidden]",,SJ4062,53.15629042,-2.891254511,OSGB,1000,SJ4062,OSGB,,58,Cheshire,25/02/2013,25/02/2013,25/02/2013,D,,Richard Burkmar,Richard Burkmar,,,Not recorded,1,FALSE,Roadkill.,,,13/01/2025 10:58,20/01/2025 10:05,Accepted,Correct,,"Parker, Antony",20/01/2025 10:05,,Passed checks
39969940,iBRC39969940,,iRecord | iRecord Import,Species,Meles meles,Eurasian Badger,terrestrial mammal,Animalia,Carnivora,Mustelidae,NHMSYS0000080191,"[sensitive record, location hidden]",,SJ6182,53.33799355,-2.579655422,OSGB,1000,SJ6182,OSGB,,58,Cheshire,14/05/2013,14/05/2013,14/05/2013,D,,Richard Burkmar,Richard Burkmar,,,Not recorded,1,FALSE,Roadkill.,,,13/01/2025 10:58,20/01/2025 10:05,Accepted,Correct,,"Parker, Antony",20/01/2025 10:05,,Passed checks
39971339,iBRC39971339,,iRecord | iRecord Import,Species,Meles meles,Eurasian Badger,terrestrial mammal,Animalia,Carnivora,Mustelidae,NHMSYS0000080191,"[sensitive record, location hidden]",,SJ3862,53.15606281,-2.921159573,OSGB,1000,SJ3862,OSGB,,58,Cheshire,02/04/2013,02/04/2013,02/04/2013,D,,Richard Burkmar,Richard Burkmar,,,Not recorded,1,FALSE,Roadkill.,,,13/01/2025 11:02,20/01/2025 10:05,Accepted,Correct,,"Parker, Antony",20/01/2025 10:05,,Passed checks
1058296,iBRC1058296,,iRecord | Garden BioBlitz 2014,Species,Xanthoria parietina,Common Orange Lichen,lichen,Fungi,Teloschistales,Teloschistaceae,NHMSYS0001501925,,,SJ5681,53.32861697,-2.654602682,OSGB,1000,SJ5681,OSGB,,58,Cheshire,31/05/2014,31/05/2014,31/05/2014,D,,"Douglas, Julie",,Likely,,,,FALSE,,,,28/06/2014 18:49,31/05/2017 11:53,Accepted,,,"Simkin, Janet",19/03/2016 10:39,,Passed checks
35059392,iBRC35059392,,iRecord | iRecord general data,Species,Australoplana sanguinea,Australian flatworm,flatworm (Turbellaria),Animalia,Seriata,Geoplanidae,NHMSYS0020744893,"[sensitive record, location hidden]",,SJ67,53.27084044,-2.526264939,OSGB,10000,SJ67,OSGB,"Arable land, gardens or parks",58,Cheshire,08/03/2024,08/03/2024,08/03/2024,D,,thompson r,r Thompson,Likely,not recorded,not recorded,too many 10plus/day,FALSE,,Sadly in garden under pots out at night??,,08/03/2024 21:45,08/03/2024 21:45,Unconfirmed,Not reviewed,,,,,Passed checks
22704785,iBRC22704785,,iRecord | iRecord general data,Species,Hericium cirrhatum,Tiered Tooth,fungus,Fungi,Russulales,Hericiaceae,BMSSYS0000008012,"[sensitive record, location hidden]",,SJ78,53.36129315,-2.377116881,OSGB,10000,SJ78,OSGB,Gardens and parks,58,Cheshire,15/10/2021,15/10/2021,15/10/2021,D,,"Chandler, Emily",,Certain,not recorded,not recorded,,FALSE,,,,15/10/2021 18:17,15/10/2021 18:17,Unconfirmed,Not reviewed,,,,,Passed checks
1977789,iBRC1977789,,iRecord | Garden Bioblitz 2015,Species,Ramularia rubella,,fungus,Fungi,Mycosphaerellales,Mycosphaerellaceae,NHMSYS0001496115,,,SJ5482,53.33743641,-2.68477383,OSGB,1000,SJ5482,OSGB,,58,Cheshire,31/05/2015,31/05/2015,31/05/2015,D,,"McWilliam, Stephen",,Certain,,,,FALSE,local - on Broad-leaved Dock leaves,,,31/05/2015 16:43,03/10/2017 01:41,Unconfirmed,Not reviewed,,,,,Passed checks
