"Status type","Status note","Key","Scientific or Common Name","Date","Location","Grid Reference","Abundance","Sex/Stage","Record Type","Observer","Determiner","Comments","Determination Type","Determination Comment"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",791,"Hylemya variata","2019-05-22","Brookhouse Moss","SJ806618","2","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708894""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Dry woodland""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",815,"Hylemya vagans","2019-05-22","Oakhanger Moss","SJ768551","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708869""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Basin mire with birch scrub""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",825,"Hylemya vagans","2019-05-22","Oakhanger Moss","SJ765552","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708859""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Flowery meadow""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",835,"Pegomya geniculata","2019-05-31","Barnton","SJ642750","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708800""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Likely""] [Sample Comment: ""Ivy-covered copse""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",838,"Botanophila fugax","2019-05-31","Barnton","SJ642749","2","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708797""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Shaded river bank""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",952,"Botanophila fugax","2019-08-04","Croft, garden","SJ637932","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708683""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Likely""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",955,"Botanophila fugax","2019-03-20","Croft, garden","SJ637932","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708680""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",1006,"Hylemya vagans","2019-06-03","Bickley Hall Farm","SJ534478","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708628""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Cow parsley under willow""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",1052,"Hylemya variata","2019-06-03","Bickley Hall Farm","SJ527481","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708582""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Hay meadow""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",1063,"Hylemya variata","2019-08-15","Bickley Hall Farm","SJ526481","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12708571""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Mown hay meadow""] [Verifier: ""Brighton, Phil""] [Verified on: ""11/02/2020""] ","Unable to verify","Verified by Brighton, Phil 11/02/2020"
