"Status type","Status note","Key","Scientific or Common Name","Date","Location","Grid Reference","Abundance","Sex/Stage","Record Type","Observer","Determiner","Comments","Determination Type","Determination Comment"
"","",1,"Oryctolagus cuniculus","2019-11-15","Risley-Silver Lane","SJ655934","6-20","","Field record","Rob Smith","","[iRecord Key: ""iBRC12713280""] [Source: ""iRecord | iRecord App""] [Verifier: ""Parker, Tony""] [Verified on: ""05/02/2020""] ","Correct","Verified by Parker, Tony 05/02/2020"
"","",2,"Turdus iliacus","2020-01-31","Kelsall","SJ53586783","2","Adult","Photographed (or videoed)","Steve Richardson","","[iRecord Key: ""iBRC12712865""] [Source: ""iRecord | iRecord general data""] [Recorder certainty: ""Certain""] ","Requires Confirmation",""
"","",3,"Javesella dubia","2019-04-21","Croft, garden","SJ637932","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712811""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",4,"Javesella dubia","2019-08-15","Bickley Hall Farm","SJ526481","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712810""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Mown hay meadow""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",5,"Javesella dubia","2019-05-21","Chester Zoo Nature Reserve","SJ408707","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712809""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Open tree-planted area""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",6,"Javesella dubia","2019-05-21","Chester Zoo Nature Reserve","SJ406706","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712808""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Grassy meadow""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",7,"Javesella dubia","2019-08-30","Denhall Quay","SJ287759","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712807""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Salt marsh with sea aster""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",8,"Conosanus obsoletus","2019-08-30","Burton Marsh","SJ301738","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712798""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Woodland edge""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",9,"Arthaldeus pascuellus","2019-08-30","Burton Marsh","SJ301745","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712796""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Salt-marsh""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 3f""; Sex: ""mixed""; Stage: ""Adult""]",10,"Zyginidia scutellaris","2019-02-26","Culcheth","SJ642953","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712765""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""11-acre LNR""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 3f""; Sex: ""mixed""; Stage: ""Adult""]",10,"Zyginidia scutellaris","2019-02-26","Culcheth","SJ642953","3","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712765""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""11-acre LNR""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 1f""; Sex: ""mixed""; Stage: ""Adult""]",11,"Zygina flammigera","2019-04-06","Croft, garden","SJ637932","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712762""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 1f""; Sex: ""mixed""; Stage: ""Adult""]",11,"Zygina flammigera","2019-04-06","Croft, garden","SJ637932","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712762""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",12,"Zygina angusta","2019-04-12","Barnton","SJ641749","3","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712760""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Likely""] [Sample Comment: ""River bank""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 3f""; Sex: ""mixed""; Stage: ""Adult""]",13,"Zygina angusta","2019-04-06","Croft, garden","SJ637932","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712759""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 3f""; Sex: ""mixed""; Stage: ""Adult""]",13,"Zygina angusta","2019-04-06","Croft, garden","SJ637932","3","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712759""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",14,"Zygina angusta","2019-03-20","Croft, garden","SJ637932","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712758""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Likely""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",15,"Thamnotettix confinis","2019-05-22","Oakhanger Moss","SJ768551","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712756""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Basin mire with birch scrub""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",16,"Tachycixius pilosus","2019-05-21","Chester Zoo Nature Reserve","SJ408707","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712752""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Open tree-planted area""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",17,"Tachycixius pilosus","2019-05-21","Chester Zoo Nature Reserve","SJ407708","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712751""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Fen""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",18,"Streptanus sordidus","2019-07-03","Hale Duck Decoy","SJ479826","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712736""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Comment: ""Checked against leQuesne collection at Liverpool Museum""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",19,"Streptanus sordidus","2019-07-03","Hale Duck Decoy","SJ477826","2","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712735""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Comment: ""Checked against leQuesne collection at Liverpool Museum""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",20,"Stenocranus minutus","2019-02-26","Culcheth","SJ642953","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712734""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""11-acre LNR""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",21,"Stenocranus minutus","2019-02-26","Culcheth","SJ641953","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712733""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Willow scrub""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",22,"Ribautiana tenerrima sensu lato","2019-04-06","Croft, garden","SJ637932","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712708""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Likely""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",23,"Populicerus confusus","2019-08-15","Bickley Hall Farm","SJ533478","2","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712707""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Marshy pond with willow""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",24,"Philaenus spumarius","2019-08-04","Croft, garden","SJ637932","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712700""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",25,"Philaenus spumarius","2019-08-15","Bickley Hall Farm","SJ533478","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712699""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Marshy pond with willow""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",26,"Philaenus spumarius","2019-08-15","Cholmondeley Estate","SJ537491","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712698""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Bickley Swamp""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"Cloned","[Count of sex or stage: ""2m, 1f""; Sex: ""mixed""; Stage: ""Adult""]",27,"Philaenus spumarius","2019-08-15","Bickley Hall Farm","SJ532480","2","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712697""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Flowery field margin""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"Cloned","[Count of sex or stage: ""2m, 1f""; Sex: ""mixed""; Stage: ""Adult""]",27,"Philaenus spumarius","2019-08-15","Bickley Hall Farm","SJ532480","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712697""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Flowery field margin""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",28,"Philaenus spumarius","2019-08-15","Bickley Hall Farm","SJ525480","2","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712696""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Pond margin""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",29,"Philaenus spumarius","2019-07-26","Bickerton Hill","SJ502531","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712695""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Recently restored heath""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",30,"Philaenus spumarius","2019-07-26","Bickerton Hill","SJ501533","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712694""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Bracken & Bilberry""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",31,"Philaenus spumarius","2019-07-26","Bickerton Hill","SJ500530","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712693""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Bracken & low birch""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"Cloned","[Count of sex or stage: ""2m, 2f""; Sex: ""mixed""; Stage: ""Adult""]",32,"Philaenus spumarius","2019-07-26","Bickerton Hill","SJ499528","2","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712692""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Bracken around lone oak""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"Cloned","[Count of sex or stage: ""2m, 2f""; Sex: ""mixed""; Stage: ""Adult""]",32,"Philaenus spumarius","2019-07-26","Bickerton Hill","SJ499528","2","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712692""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Bracken around lone oak""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
