"Key","ID","RecordKey","External key","Source","Rank","Taxon","Common name","Taxon group","Kingdom","Order","Family","TaxonVersionKey","Site name","Original map ref","Latitude","Longitude","Projection (input)","Precision","Output map ref","Projection (output)","Biotope","VC number","Vice County","Date interpreted","Date from","Date to","Date type","Sample method","Recorder","Determiner","Recorder certainty","Sex","Stage","Count of sex or stage","Zero abundance","Comment","Sample comment","Images","Input on date","Last edited on date","Verification status 1","Verification status 2","Query","Verifier","Verified on","Licence","Automated checks"
1,"12712765","iBRC12712765","","iRecord | iRecord Import","Species","Zyginidia scutellaris","","insect - true bug (Hemiptera)","Animalia","Hemiptera","Cicadellidae","NHMSYS0020705979","Culcheth","SJ642953","53.4536848605903","-2.53981832589036","OSGB","100","SJ642953","OSGB","","59","South Lancashire","26/02/2019","2019-02-26","2019-02-26","D","Net","Brighton, Phil","Brighton, Phil","Certain","mixed","Adult","1m, 3f","false","","11-acre LNR","","31/01/2020 17:34","23/02/2020 17:21","Accepted","Considered correct","","Stewart, Alan","23/02/2020 17:21","","Passed checks"
2,"30983552","iBRC30983552","132dfce5-a44b-4cc9-9623-74f267e127c5","iRecord | iRecord App","Species","Polygonia c-album","Comma","insect - butterfly","Animalia","Lepidoptera","Nymphalidae","NHMSYS0000503893","Parksfield, Parkgate","53.296N, 3.076W","53.2960847","-3.075545","WGS84","5","SJ28417822","OSGB","","58","Cheshire","21/06/2023","21/06/2023","21/06/2023","D","","Parry, Graham","","","mixed","Adult","B","FALSE","Half a dozen approx seen flying in or near grassy meadow","","","21/06/2023 17:27","03/07/2023 08:39","Accepted","Considered correct","","Adams, Rupert","03/07/2023 08:39","","Passed checks"
3,"30983531","iBRC30983531","034ac5f9-00fb-4de9-a74c-b94ebd9625df","iRecord | iRecord App","Species","Maniola jurtina","Meadow Brown","insect - butterfly","Animalia","Lepidoptera","Nymphalidae","NHMSYS0000521977","Parksfield, Parkgate","53.296N, 3.075W","53.29611","-3.07542","WGS84","5","SJ28417822","OSGB","","58","Cheshire","21/06/2023","21/06/2023","21/06/2023","D","","Parry, Graham","","","mixed","Adult","E","FALSE","100s in a grassy meadow. Conservative estimate of 500 but possibly many more. ","","","21/06/2023 17:25","03/07/2023 08:39","Accepted","Considered correct","","Adams, Rupert","03/07/2023 08:39","","Passed checks"
4,"30970681","iBRC30970681","9715ee69-1fbb-4b9d-88d5-eedfc850e841","iRecord | iRecord App","Species","Maniola jurtina","Meadow Brown","insect - butterfly","Animalia","Lepidoptera","Nymphalidae","NHMSYS0000521977","Quayside footpath","53.280N, 3.069W","53.27952","-3.06873","WGS84","5","SJ28837637","OSGB","","58","Cheshire","20/06/2023","20/06/2023","20/06/2023","D","","Parry, Graham","","","mixed","Adult","B","FALSE","Scrubland between footpath and the marsh. In poor condition due to machinery stored there throughout winter","","","20/06/2023 22:45","03/07/2023 08:43","Accepted","Considered correct","","Adams, Rupert","03/07/2023 08:43","","Passed checks"
5,"32380356","iBRC32380356","","iRecord | iRecord general data","Order","Ephemeroptera","mayflies","insect - mayfly (Ephemeroptera)","Animalia","Ephemeroptera","Ephemeroptera","NHMSYS0000841056","wigg island","SJ53098365","53.34769436","-2.706043733","OSGB","10","SJ53098365","OSGB","Mixed habitats","58","Cheshire","13/08/2023","13/08/2023","13/08/2023","D","","Trampnow, Joanna","Trampnow, Joanna","Certain","not recorded","adult","1","FALSE","","","o_1h7o0degg10md1shael0tid1is45o.jpeg; ; CC0 | o_1h7o0degf1tcbsamvb18r41ndi5n.jpeg; ; CC0","13/08/2023 18:52","13/08/2023 18:52","Unconfirmed","Not reviewed","","","","","Passed checks"
6,"32339886","iBRC32339886","21188075","Mammal Mapper | Transect sightings","Order","Chiroptera","Bat","terrestrial mammal","Animalia","Chiroptera","Chiroptera","NHMSYS0000376160","","53.37768 -3.18219","53.37768","-3.18219","WGS84","50","SJ21458740","OSGB","","58","Cheshire","11/08/2023","11/08/2023","11/08/2023","D","","Kevin Daughters","","","","","1","FALSE","","","","11/08/2023 21:51","11/08/2023 21:51","Unconfirmed","Not reviewed","","","","","Passed checks"
7,"30598723","iBRC30598723","19754832","Mammal Mapper | Transect sightings","Order","Chiroptera","Bat","terrestrial mammal","Animalia","Chiroptera","Chiroptera","NHMSYS0000376160","","53.20933 -2.82896","53.20933","-2.82896","WGS84","50","SJ44736835","OSGB","","58","Cheshire","31/05/2023","31/05/2023","31/05/2023","D","","Sheila Petoud","","","","","1","FALSE","","","","31/05/2023 22:10","06/06/2023 09:13","Accepted","Correct","","Parker, Antony","06/06/2023 09:13","","Passed checks"
8,"30038408","iBRC30038408","","iRecord | iRecord general data","Family","Lycosidae","wolf spiders","spider (Araneae)","Animalia","Araneae","Lycosidae","NBNSYS0000160354","Hassall Green NR lower meadow bank","SJ78445782","53.1171632","-2.323504319","OSGB","10","SJ78445782","OSGB","Scrub","58","Cheshire","03/04/2023","03/04/2023","03/04/2023","D","","Skingsley, Dave","Skingsley, Dave","Likely","not recorded","adult","1","FALSE","","","16/82/26/o_1guna05qc9391eip1envd95k5r4u.jpg; ; CC BY","23/04/2023 16:04","23/04/2023 16:04","Unconfirmed","Not reviewed","","","","","Passed checks"
9,"29390849","iBRC29390849","","iRecord | iRecord general data","Family","Lycosidae","wolf spiders","spider (Araneae)","Animalia","Araneae","Lycosidae","NBNSYS0000160354","136 Crewe Road, Alsager","SJ79055536","53.09507502","-2.314229189","OSGB","10","SJ79055536","OSGB","Gardens and parks","58","Cheshire","22/02/2021","22/02/2021","22/02/2021","D","","Skingsley, Dave","Skingsley, Dave","Likely","not recorded","adult","1","FALSE","","","16/76/64/o_1gpg0lhonk27nsobo21aik1k3if.jpg; ; CC BY | 16/76/64/o_1gpg0lhot1sof1grs53o11v2ntbg.jpg; ; CC BY","17/02/2023 15:49","17/02/2023 15:49","Unconfirmed","Not reviewed","","","","","Passed checks"
10,"29363015","iBRC29363015","","iRecord | iRecord general data","Order","Chiroptera","Bat","terrestrial mammal","Animalia","Chiroptera","Chiroptera","NHMSYS0000376160","Rode","SJ819581","53.12021548","-2.27115562","OSGB","100","SJ819581","OSGB","Lines of trees and small  woodlands","58","Cheshire","11/02/2023","11/02/2023","11/02/2023","D","","Richard, Anne-Marie","","Certain","not recorded","adult","1","FALSE","","Flying around roadside trees at dusk","","12/02/2023 18:26","13/02/2023 09:40","Accepted","Correct","","Parker, Antony","13/02/2023 09:40","",""
