"Status type","Status note","Key","ID","RecordKey","External key","Source","Rank","Taxon","Common name","Taxon group","Kingdom","Order","Family","TaxonVersionKey","Site name","Original map ref","Latitude","Longitude","Projection (input)","Precision","Output map ref","Projection (output)","Biotope","VC number","Vice County","Date interpreted","Date from","Date to","Date type","Sample method","Recorder","Determiner","Recorder certainty","Sex","Stage","Count of sex or stage","Zero abundance","Comment","Sample comment","Images","Input on date","Last edited on date","Verification status 1","Verification status 2","Query","Verifier","Verified on","Licence","Automated checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",790,"12708894","iBRC12708894","","iRecord | iRecord Import","Species","Hylemya variata","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0000030569","Brookhouse Moss","SJ806618","53.1534283248799","-2.29080457362339","OSGB","100","SJ806618","OSGB","","58","Cheshire","22/05/2019","2019-05-22","2019-05-22","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","2","false","","Dry woodland","","31/01/2020 09:15","11/02/2020 17:39","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:39","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",814,"12708869","iBRC12708869","","iRecord | iRecord Import","Species","Hylemya vagans","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0100025219","Oakhanger Moss","SJ768551","53.0930508726635","-2.34714076687523","OSGB","100","SJ768551","OSGB","","58","Cheshire","22/05/2019","2019-05-22","2019-05-22","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Basin mire with birch scrub","","31/01/2020 09:15","11/02/2020 17:41","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:41","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",824,"12708859","iBRC12708859","","iRecord | iRecord Import","Species","Hylemya vagans","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0100025219","Oakhanger Moss","SJ765552","53.0939365992538","-2.35162776881885","OSGB","100","SJ765552","OSGB","","58","Cheshire","22/05/2019","2019-05-22","2019-05-22","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Flowery meadow","","31/01/2020 09:15","11/02/2020 17:41","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:41","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",834,"12708800","iBRC12708800","","iRecord | iRecord Import","Species","Pegomya geniculata","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0000030616","Barnton","SJ642750","53.2712240786832","-2.53751602504441","OSGB","100","SJ642750","OSGB","","58","Cheshire","31/05/2019","2019-05-31","2019-05-31","D","Net","Brighton, Phil","Brighton, Phil","Likely","female","Adult","1","false","","Ivy-covered copse","","31/01/2020 09:15","11/02/2020 17:45","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:45","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",837,"12708797","iBRC12708797","","iRecord | iRecord Import","Species","Botanophila fugax","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0100002042","Barnton","SJ642749","53.2703252430235","-2.53750474569093","OSGB","100","SJ642749","OSGB","","58","Cheshire","31/05/2019","2019-05-31","2019-05-31","D","Net","Brighton, Phil","Brighton, Phil","Certain","female","Adult","2","false","","Shaded river bank","","31/01/2020 09:15","11/02/2020 17:45","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:45","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",951,"12708683","iBRC12708683","","iRecord | iRecord Import","Species","Botanophila fugax","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0100002042","Croft, garden","SJ637932","53.4347756238406","-2.54710466662511","OSGB","100","SJ637932","OSGB","","59","South Lancashire","04/08/2019","2019-08-04","2019-08-04","D","Net","Brighton, Phil","Brighton, Phil","Likely","female","Adult","1","false","","Wadeson Way","","31/01/2020 09:14","11/02/2020 17:53","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:53","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",954,"12708680","iBRC12708680","","iRecord | iRecord Import","Species","Botanophila fugax","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0100002042","Croft, garden","SJ637932","53.4347756238406","-2.54710466662511","OSGB","100","SJ637932","OSGB","","59","South Lancashire","20/03/2019","2019-03-20","2019-03-20","D","Net","Brighton, Phil","Brighton, Phil","Certain","female","Adult","1","false","","Wadeson Way","","31/01/2020 09:14","11/02/2020 17:54","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:54","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",1005,"12708628","iBRC12708628","","iRecord | iRecord Import","Species","Hylemya vagans","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0100025219","Bickley Hall Farm","SJ534478","53.0259028654007","-2.69548302764423","OSGB","100","SJ534478","OSGB","","58","Cheshire","03/06/2019","2019-06-03","2019-06-03","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Cow parsley under willow","","31/01/2020 09:14","11/02/2020 17:56","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 17:56","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",1051,"12708582","iBRC12708582","","iRecord | iRecord Import","Species","Hylemya variata","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0000030569","Bickley Hall Farm","SJ527481","53.0285378976995","-2.70596280020093","OSGB","100","SJ527481","OSGB","","58","Cheshire","03/06/2019","2019-06-03","2019-06-03","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Hay meadow","","31/01/2020 09:14","11/02/2020 18:02","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 18:02","","Passed checks"
"Verification","[Verification 1: ""rejected""; Verification 2: ""unable to verify""]",1062,"12708571","iBRC12708571","","iRecord | iRecord Import","Species","Hylemya variata","","insect - true fly (Diptera)","Animalia","Diptera","Anthomyiidae","NBNSYS0000030569","Bickley Hall Farm","SJ526481","53.0285290364484","-2.70745370835759","OSGB","100","SJ526481","OSGB","","58","Cheshire","15/08/2019","2019-08-15","2019-08-15","D","Net","Brighton, Phil","Brighton, Phil","Uncertain","female","Adult","1","false","","Mown hay meadow","","31/01/2020 09:14","11/02/2020 18:02","Rejected","Unable to verify","","Brighton, Phil","11/02/2020 18:02","","Passed checks"
