"Status type","Status note","Key","Scientific or Common Name","Date","Location","Grid Reference","Abundance","Sex/Stage","Record Type","Observer","Determiner","Comments","Determination Type","Determination Comment"
"","",0,"Oryctolagus cuniculus","2019-11-15","Risley-Silver Lane","SJ655934","6-20","","Field record"," Rob Smith","","[iRecord Key: ""iBRC12713280""] [Source: ""iRecord | iRecord App""] [Verifier: ""Tony Parker""] [Verified on: ""05/02/2020""] ","Correct","Verified by  Tony Parker 05/02/2020"
"","",1,"Turdus iliacus","2020-01-31","Kelsall","SJ53586783","2","Adult","Field record"," Steve Richardson","","[iRecord Key: ""iBRC12712865""] [Source: ""iRecord | iRecord general data""] [Recorder certainty: ""Certain""] ","Requires Confirmation",""
"","",2,"Javesella dubia","2019-04-21","Croft, garden","SJ637932","1","Adult male","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712811""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
"","",3,"Javesella dubia","2019-08-15","Bickley Hall Farm","SJ526481","1","Adult female","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712810""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Mown hay meadow""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
"","",4,"Javesella dubia","2019-05-21","Chester Zoo Nature Reserve","SJ408707","1","Adult female","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712809""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Open tree-planted area""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
"","",5,"Javesella dubia","2019-05-21","Chester Zoo Nature Reserve","SJ406706","1","Adult male","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712808""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Grassy meadow""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
"","",6,"Javesella dubia","2019-08-30","Denhall Quay","SJ287759","1","Adult female","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712807""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Salt marsh with sea aster""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
"","",7,"Conosanus obsoletus","2019-08-30","Burton Marsh","SJ301738","1","Adult female","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712798""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Woodland edge""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
"","",8,"Arthaldeus pascuellus","2019-08-30","Burton Marsh","SJ301745","1","Adult male","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712796""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Salt-marsh""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 3f""; Sex: ""mixed""; Stage: ""adult""]",9,"Zyginidia scutellaris","2019-02-26","Culcheth","SJ642953","1","Adult male","Trapped (netted)"," Phil Brighton"," Phil Brighton","[iRecord Key: ""iBRC12712765""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""11-acre LNR""] [Verifier: ""Alan Stewart""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by  Alan Stewart 23/02/2020"
